USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Registration SYSTEM_GENERATED_ERROR: sudhir : sudhir@appmantras.com : APA91bH6t8ZVYTLbEeWNsgcnPvH9gqPyFi3UmKJD9Oh_0yG6Pq9E_0ZQB1elYdHavvu64JEKQGzNyOD-pLqqgYk4kPRG4k5J0Tc3atI-cUjH7DMip0q6j-S6f51a0ipnkJuW9IhJ3RH5sKsPLJ5DIlJKX5uFf4whug PHONE_TIME: 2015-05-22 07:45:40 SYSTEM_TIME: 2015-05-22 3:24:41 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Received Message is null / empty SYSTEM_GENERATED_ERROR: null PHONE_TIME: 2015-05-22 07:45:40 SYSTEM_TIME: 2015-05-22 3:24:42 
USERID: 123 OSTYPE: android DEVICEINFO: Micromax A110Q , version : 4.2.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Registration SYSTEM_GENERATED_ERROR: sudhir : sudhir@appmantras.com : APA91bF2QrpSsGcpm__F5yCW-5096s6yyhk-YUCeagYxNYvtb9u82LwmZnUOQhYzhy0lvqEPz2w7hy9UEl8RCrNvjhWMl71Ixec4iu396QN_Pw7xGzvwZrzRilImoAOpMWJTe8umo9oDURD7ItGGieY9_Vyl0TatDg PHONE_TIME: 2015-05-22 12:26:36 SYSTEM_TIME: 2015-05-22 3:25:46 
USERID: 123 OSTYPE: android DEVICEINFO: Micromax A110Q , version : 4.2.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Received Message is null / empty SYSTEM_GENERATED_ERROR: null PHONE_TIME: 2015-05-22 12:26:36 SYSTEM_TIME: 2015-05-22 3:25:46 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Registration SYSTEM_GENERATED_ERROR: sudhir : sudhir@appmantras.com : APA91bFiKVvOkRjmFXZqgrPHYmSD3xcavChftURohAnakHxhfbci82C5Lx2_052G4soiSAuWX0WGsEEIzwOmhgNneNoRlitkcyE4GplmQ_e6a-qWBN7xIVUI3ELRCj8GpNrP_kfIv45uy2g_t6JWl7aoBC8ZcXWVSA PHONE_TIME: 2015-05-22 08:25:45 SYSTEM_TIME: 2015-05-22 4:04:47 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Received Message is null / empty SYSTEM_GENERATED_ERROR: null PHONE_TIME: 2015-05-22 08:25:45 SYSTEM_TIME: 2015-05-22 4:04:47 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: HomeWizardPlanDownload->WebService Call SYSTEM_GENERATED_ERROR: Could not convert string to json, more info : org.json.JSONException: Value null at 0 of type org.json.JSONObject$1 cannot be converted to JSONObject PHONE_TIME: 2015-05-22 09:25:18 SYSTEM_TIME: 2015-05-22 5:04:19 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: HomeWizardPlanDownload->WebService Call SYSTEM_GENERATED_ERROR: Could not convert string to json, more info : org.json.JSONException: Value null at 0 of type org.json.JSONObject$1 cannot be converted to JSONObject PHONE_TIME: 2015-05-22 09:27:45 SYSTEM_TIME: 2015-05-22 5:06:47 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Registration SYSTEM_GENERATED_ERROR: sudhir : sudhir@appmantras.com : APA91bFRSxpnhIp3CDpYN44Snq-kQ7sfV9EnnIPVQe_hghTllhHjrQhEc4b2ypfkObBb6oDARsbsScqBKAcONuJJimvOKAp3vmrweAJLR3ur2tP6-UELdEsC5n2zLGIFxwfZoHu8bjMybCkNPJGqRpgN1UXTSMWyTQ PHONE_TIME: 2015-05-22 09:55:01 SYSTEM_TIME: 2015-05-22 5:34:02 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Received Message is null / empty SYSTEM_GENERATED_ERROR: null PHONE_TIME: 2015-05-22 09:55:01 SYSTEM_TIME: 2015-05-22 5:34:02 
USERID: 123 OSTYPE: android DEVICEINFO: Nexus 7 , version : 5.1.1 CUSTOMIZED_ERROR_MESSAGE: GCM->Registration SYSTEM_GENERATED_ERROR: sudhir : sudhir@appmantras.com : APA91bElT8qoTjbbLeGk8zBcap_vproXWLchLx36v3aYuEIrKqq9AHGu_JB9vl4jzraDIfvs7RTFiCB7ku7BKull27LqYvktKR9O3cgV-M4jxloUnKEBJsh50gp3-XySlW6FEIFl5yweV43qftUThCh9Fc0jxl8VWg PHONE_TIME: 2015-05-22 01:30:47 SYSTEM_TIME: 2015-05-22 9:09:49 
